ENDPOS1 (UnityEngine.Transform),1,Controller (left),3.544445
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,5.477778
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,8.011111
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,11.72222
ENDPOS5 (UnityEngine.Transform),1.75,Controller (left),16.62222
ENDPOS3 (UnityEngine.Transform),1,Controller (left),20.83333
ENDPOS1 (UnityEngine.Transform),1.25,Controller (left),25.25556
ENDPOS4 (UnityEngine.Transform),1,ENDPOS4,27.94444
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,31.56667
ENDPOS1 (UnityEngine.Transform),1.5,ENDPOS1,34.03333
,Controller (left),34.03333
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,36.08889
ENDPOS1 (UnityEngine.Transform),2,Controller (left),40.08889
,ENDPOS1,40.08889
ENDPOS1 (UnityEngine.Transform),1.75,Controller (left),43.81111
ENDPOS5 (UnityEngine.Transform),1,ENDPOS5,46.28889
ENDPOS2 (UnityEngine.Transform),1,ENDPOS2,51.05556
,Controller (left),51.05556
ENDPOS1 (UnityEngine.Transform),1.5,Controller (left),54.81111
,ENDPOS1,54.81111
ENDPOS5 (UnityEngine.Transform),1.25,Controller (left),57.95556
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,61.03334
ENDPOS5 (UnityEngine.Transform),1.75,Controller (left),63.56667
ENDPOS3 (UnityEngine.Transform),1,Controller (left),66.82223
ENDPOS4 (UnityEngine.Transform),1,ENDPOS4,69.3
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,73.45556
ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,76.91111
,Controller (left),76.91111
ENDPOS3 (UnityEngine.Transform),1.25,Controller (left),80.53333
ENDPOS2 (UnityEngine.Transform),1.25,ENDPOS2,82.57778
,Controller (left),82.57778
ENDPOS1 (UnityEngine.Transform),1,Controller (left),85.63334
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,90.06667
ENDPOS5 (UnityEngine.Transform),1.25,Controller (left),93.87778
ENDPOS2 (UnityEngine.Transform),1.25,Controller (left),96.8
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,100.9445
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,103.6778
ENDPOS1 (UnityEngine.Transform),1.5,Controller (left),108.4222
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,111.5778
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,115.2
ENDPOS1 (UnityEngine.Transform),1.75,Controller (left),120.1
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,122.7889
ENDPOS2 (UnityEngine.Transform),1.25,ENDPOS2,126.5667
,Controller (left),126.5667
ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,129.8
,Controller (left),129.8
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,131.8445
ENDPOS5 (UnityEngine.Transform),1,Controller (left),134.8778
ENDPOS3 (UnityEngine.Transform),1.5,Controller (left),139.1889
,ENDPOS3,139.1889
ENDPOS3 (UnityEngine.Transform),1.5,Controller (left),143.9333
,ENDPOS3,143.9333
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,148.1111
ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,151.7111
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,153.4444
ENDPOS1 (UnityEngine.Transform),1.75,Controller (left),157.1111
ENDPOS2 (UnityEngine.Transform),1,Controller (left),162
ENDPOS1 (UnityEngine.Transform),1.25,Controller (left),165.0556
ENDPOS5 (UnityEngine.Transform),1.75,Controller (left),167.3222
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,171.6
ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,176.7111
ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,178.7889
,Controller (left),178.7889
ENDPOS3 (UnityEngine.Transform),1.5,ENDPOS3,183.0556
ENDPOS2 (UnityEngine.Transform),1,Controller (left),187.2556
,ENDPOS2,187.2556
ENDPOS3 (UnityEngine.Transform),1.25,ENDPOS3,191.4222
,Controller (left),191.4222
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,196.1111
ENDPOS5 (UnityEngine.Transform),1.5,Controller (left),198.7667
ENDPOS3 (UnityEngine.Transform),1,ENDPOS3,204.0556
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,205.5778
ENDPOS2 (UnityEngine.Transform),1,Controller (left),210.8667
ENDPOS2 (UnityEngine.Transform),1.5,Controller (left),213.4889
,ENDPOS2,213.4889
ENDPOS4 (UnityEngine.Transform),1,ENDPOS4,216.2222
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,218.1222
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,222.4556
ENDPOS5 (UnityEngine.Transform),1,Controller (left),224.7333
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,228.6
,Controller (left),228.6
ENDPOS1 (UnityEngine.Transform),1.75,Controller (left),231.1556
ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,236.3556
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,239.7111
ENDPOS5 (UnityEngine.Transform),1.5,Controller (left),242.0111
ENDPOS4 (UnityEngine.Transform),1,ENDPOS4,245.8333
ENDPOS3 (UnityEngine.Transform),1.5,ENDPOS3,249.8333
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,252.2222
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,254.8222
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,257.1889
ENDPOS1 (UnityEngine.Transform),1.5,Controller (left),261.5333
ENDPOS3 (UnityEngine.Transform),1.25,Controller (left),263.7889
ENDPOS3 (UnityEngine.Transform),1,Controller (left),268.4556
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,270.7444
,Controller (left),270.7444
ENDPOS5 (UnityEngine.Transform),1,Controller (left),273.7667
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,275.4333
ENDPOS1 (UnityEngine.Transform),1.25,Controller (left),278.0333
ENDPOS1 (UnityEngine.Transform),1,Controller (left),282.4556
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,285.0889
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,287.5556
ENDPOS1 (UnityEngine.Transform),1.25,Controller (left),291.1111
ENDPOS5 (UnityEngine.Transform),1.25,Controller (left),294.1778
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,297.8111
ENDPOS5 (UnityEngine.Transform),1.75,Controller (left),302.1667
ENDPOS2 (UnityEngine.Transform),1.75,Controller (left),305.2
,ENDPOS2,305.2
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,307.8445
ENDPOS5 (UnityEngine.Transform),1.25,Controller (left),310.4889
ENDPOS5 (UnityEngine.Transform),1.5,Controller (left),313.9222
ENDPOS1 (UnityEngine.Transform),1,Controller (left),319.1778
ENDPOS3 (UnityEngine.Transform),1.25,Controller (left),321.7444
,ENDPOS3,321.7444
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,324.5556
ENDPOS5 (UnityEngine.Transform),1.5,Controller (left),328.5556
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,333.4111
ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,336.3333
ENDPOS2 (UnityEngine.Transform),1.25,Controller (left),340.2444
