ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,3.677778
ENDPOS3 (UnityEngine.Transform),1.5,ENDPOS3,8.344444
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,10.42222
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,13.23333
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,15.48889
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,19.37778
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,24.28889
ENDPOS4 (UnityEngine.Transform),1.25,ENDPOS4,29.42222
,Controller (right),29.42222
ENDPOS5 (UnityEngine.Transform),1.5,ENDPOS5,31.85556
ENDPOS1 (UnityEngine.Transform),1.75,Controller (right),33.77778
ENDPOS4 (UnityEngine.Transform),1,Controller (right),36.66667
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,41.18889
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,45.7
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,48.75556
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),51.68889
ENDPOS3 (UnityEngine.Transform),1,Controller (right),54.8
ENDPOS1 (UnityEngine.Transform),1.75,ENDPOS1,57.51111
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),59.86667
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,64.11111
ENDPOS5 (UnityEngine.Transform),1,Controller (right),67.61111
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,71.16667
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),75.82223
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),79.3
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),83.67778
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,86.11111
ENDPOS1 (UnityEngine.Transform),1,Controller (right),90.05556
ENDPOS5 (UnityEngine.Transform),1.5,ENDPOS5,92.04445
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,95.04445
ENDPOS5 (UnityEngine.Transform),1.75,Controller (right),99.35556
ENDPOS2 (UnityEngine.Transform),1.25,ENDPOS2,102.6778
ENDPOS5 (UnityEngine.Transform),1.75,Controller (right),106.1667
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,108.7667
ENDPOS2 (UnityEngine.Transform),1.5,ENDPOS2,113.6778
ENDPOS1 (UnityEngine.Transform),1,Controller (right),118.1111
ENDPOS2 (UnityEngine.Transform),1,Controller (right),122.6111
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),126.9111
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,130.6889
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,134.0333
ENDPOS1 (UnityEngine.Transform),2,Controller (right),138.5556
ENDPOS1 (UnityEngine.Transform),2,Controller (right),140.7
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,144.3778
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),148.8111
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,151.2
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),155.3445
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),158.9444
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,162.8445
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),165.9111
ENDPOS5 (UnityEngine.Transform),1,Controller (right),170.1778
ENDPOS4 (UnityEngine.Transform),1,Controller (right),173.1222
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),176.0444
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,179.6667
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,183.2889
ENDPOS5 (UnityEngine.Transform),1.75,Controller (right),186.1667
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),189.1667
ENDPOS2 (UnityEngine.Transform),1.25,ENDPOS2,193.4889
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),195.6778
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,198.0444
ENDPOS3 (UnityEngine.Transform),1.75,Controller (right),202.1445
