ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,2.855556
ENDPOS2 (UnityEngine.Transform),1,Controller (right),6.055556
ENDPOS5 (UnityEngine.Transform),1,Controller (right),9.811111
ENDPOS1 (UnityEngine.Transform),1,Controller (right),14.73333
ENDPOS5 (UnityEngine.Transform),1.25,ENDPOS5,17.5
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),20.74445
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),23.11111
ENDPOS1 (UnityEngine.Transform),1.5,ENDPOS1,27.03333
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,31.25556
,Controller (right),31.25556
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),35.96667
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),39.54445
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,41.97778
ENDPOS4 (UnityEngine.Transform),1.5,Controller (right),44.93333
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),48.83334
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,52.72223
ENDPOS1 (UnityEngine.Transform),2,Controller (right),56.76667
ENDPOS5 (UnityEngine.Transform),1.75,ENDPOS5,61.61111
ENDPOS1 (UnityEngine.Transform),1.75,ENDPOS1,63.97778
ENDPOS5 (UnityEngine.Transform),1,Controller (right),67
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),71.67778
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),76.46667
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),79.58889
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),83.22222
ENDPOS4 (UnityEngine.Transform),1.5,Controller (right),86.54445
ENDPOS2 (UnityEngine.Transform),1,Controller (right),89.5
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,94
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),96.81111
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),100.2889
ENDPOS1 (UnityEngine.Transform),1.75,Controller (right),104.4889
ENDPOS3 (UnityEngine.Transform),1,Controller (right),108.6333
ENDPOS3 (UnityEngine.Transform),1,Controller (right),110.8889
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),114.8111
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),118.9111
ENDPOS3 (UnityEngine.Transform),1,Controller (right),123.6444
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,127.6778
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,132.5444
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,137.1
ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,139.2556
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,142.1333
ENDPOS4 (UnityEngine.Transform),1,Controller (right),145.7333
ENDPOS2 (UnityEngine.Transform),2,Controller (right),148.5333
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,153.2444
ENDPOS4 (UnityEngine.Transform),1,Controller (right),158.1
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,159.7556
ENDPOS4 (UnityEngine.Transform),1.5,Controller (right),163.8445
,ENDPOS4,163.8445
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),168.3111
,ENDPOS4,168.3111
ENDPOS5 (UnityEngine.Transform),1,Controller (right),172.2444
ENDPOS1 (UnityEngine.Transform),2,ENDPOS1,174.0889
ENDPOS1 (UnityEngine.Transform),1.75,Controller (right),177.2
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,181
ENDPOS5 (UnityEngine.Transform),1.5,ENDPOS5,183.5444
