ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),5.177778
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),7.577778
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),9.522223
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,11.56667
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),15.68889
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),18.41111
ENDPOS5 (UnityEngine.Transform),1.75,Controller (right),22.98889
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),27.35556
ENDPOS5 (UnityEngine.Transform),1,Controller (right),30.13333
ENDPOS1 (UnityEngine.Transform),1,Controller (right),32.17778
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),35.65556
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,40.37778
ENDPOS5 (UnityEngine.Transform),1.75,Controller (right),43.25556
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),48.01111
ENDPOS5 (UnityEngine.Transform),2,Controller (right),51.44445
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,55.83334
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),60.67778
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),63.13334
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),67.76667
ENDPOS3 (UnityEngine.Transform),1,Controller (right),72.21111
ENDPOS5 (UnityEngine.Transform),1,Controller (right),74.42223
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),79.13334
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),81.51112
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),85.82223
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,88.41111
ENDPOS2 (UnityEngine.Transform),1.75,Controller (right),91.94445
ENDPOS1 (UnityEngine.Transform),2,Controller (right),95.88889
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),99.72222
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),104.8556
ENDPOS5 (UnityEngine.Transform),2,Controller (right),108.6222
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),112.8778
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),115.8444
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,119.4889
ENDPOS2 (UnityEngine.Transform),1.75,Controller (right),123.2333
ENDPOS1 (UnityEngine.Transform),1,Controller (right),127.9
ENDPOS3 (UnityEngine.Transform),1.75,ENDPOS3,130.2778
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),134.0667
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),138.7
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,141.2889
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,143.8333
ENDPOS3 (UnityEngine.Transform),2,Controller (right),147.7556
ENDPOS1 (UnityEngine.Transform),2,Controller (right),151.0556
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),155.1
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),157.3333
ENDPOS1 (UnityEngine.Transform),2,Controller (right),161.8556
ENDPOS5 (UnityEngine.Transform),1.25,ENDPOS5,165.4111
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),168.1889
ENDPOS3 (UnityEngine.Transform),1.75,Controller (right),170.2778
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,173.4222
ENDPOS5 (UnityEngine.Transform),1,ENDPOS5,178.5667
ENDPOS1 (UnityEngine.Transform),1.75,ENDPOS1,181.0333
ENDPOS2 (UnityEngine.Transform),1,Controller (right),183.8667
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),186.9333
ENDPOS5 (UnityEngine.Transform),1,Controller (right),191.3778
ENDPOS1 (UnityEngine.Transform),2,Controller (right),193.8445
ENDPOS2 (UnityEngine.Transform),1,Controller (right),197.8222
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),199.6
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,203.3556
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,208.0111
ENDPOS4 (UnityEngine.Transform),1,Controller (right),211.2111
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,213.1889
ENDPOS2 (UnityEngine.Transform),1,Controller (right),215.9667
ENDPOS1 (UnityEngine.Transform),1.5,Controller (right),219.0111
ENDPOS1 (UnityEngine.Transform),1,Controller (right),223.6556
ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,226.9222
ENDPOS3 (UnityEngine.Transform),1.75,Controller (right),229.4444
ENDPOS5 (UnityEngine.Transform),2,Controller (right),232.6778
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),237.2778
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,239.6667
ENDPOS4 (UnityEngine.Transform),1.25,Controller (right),243.9222
