ENDPOS1,0.875,ENDPOS1,3.922222,,ê¨å˜êî,ENDPOS1,ENDPOS2,ENDPOS3,ENDPOS4,ENDPOS5
ENDPOS1,1,Controller (right),6.233334,,96,1,1,0,2,0
ENDPOS2,1,Controller (right),10.58889,,,1.000s,0.875s,0.750s,0.625s,0.500s
ENDPOS2,0.625,Controller (right),13.05556,,,0,1,0,0,3
ENDPOS3,0.625,Controller (right),18.05556,,,,,,,
ENDPOS3,1,Controller (right),21.52222,,,,,,,
ENDPOS1,0.5,ENDPOS4,23.24445,,,,,,,
ENDPOS4,1,Controller (right),28.3,,,,,,,
ENDPOS2,0.5,ENDPOS2,30.98889,,,,,,,
ENDPOS5,0.5,Controller (right),34.51111,,,,,,,
ENDPOS5,0.625,Controller (right),37.46667,,,,,,,
ENDPOS5,0.75,Controller (right),40.86667,,,,,,,
ENDPOS3,0.75,Controller (right),44.51111,,,,,,,
ENDPOS2,0.75,Controller (right),49.48889,,,,,,,
ENDPOS3,0.75,Controller (right),52.87778,,,,,,,
ENDPOS2,0.625,Controller (right),56.2,,,,,,,
ENDPOS3,0.625,Controller (right),58.22223,,,,,,,
ENDPOS2,1,Controller (right),61.5,,,,,,,
ENDPOS1,0.875,Controller (right),65.54445,,,,,,,
ENDPOS1,0.625,Controller (right),69.68889,,,,,,,
ENDPOS2,0.625,Controller (right),73.41111,,,,,,,
ENDPOS4,1,Controller (right),76.25555,,,,,,,
ENDPOS2,0.875,Controller (right),80.54445,,,,,,,
ENDPOS2,1,Controller (right),83.45556,,,,,,,
ENDPOS2,0.5,Controller (right),86.28889,,,,,,,
ENDPOS4,0.875,Controller (right),89.47778,,,,,,,
ENDPOS1,1,Controller (right),93.44445,,,,,,,
ENDPOS1,0.875,Controller (right),96.31111,,,,,,,
ENDPOS3,0.875,Controller (right),100.9,,,,,,,
ENDPOS3,0.5,Controller (right),103.7,,,,,,,
ENDPOS5,0.75,Controller (right),108.8889,,,,,,,
ENDPOS3,0.5,Controller (right),113.2222,,,,,,,
ENDPOS4,0.875,Controller (right),115.6444,,,,,,,
ENDPOS3,0.75,Controller (right),120.0778,,,,,,,
ENDPOS5,0.875,Controller (right),124.4333,,,,,,,
ENDPOS1,0.75,Controller (right),127.9556,,,,,,,
ENDPOS4,0.625,Controller (right),131.5556,,,,,,,
ENDPOS4,1,Controller (right),135.0778,,,,,,,
ENDPOS5,0.75,Controller (right),136.8667,,,,,,,
ENDPOS3,0.875,Controller (right),141.2556,,,,,,,
ENDPOS2,0.75,Controller (right),145.3889,,,,,,,
ENDPOS1,1,Controller (right),149.4889,,,,,,,
ENDPOS5,0.875,Controller (right),151.7556,,,,,,,
ENDPOS1,0.75,Controller (right),155.8889,,,,,,,
ENDPOS4,0.875,Controller (right),160.6889,,,,,,,
ENDPOS2,1,Controller (right),164.6778,,,,,,,
ENDPOS3,1,Controller (right),167.7333,,,,,,,
ENDPOS2,0.875,Controller (right),171.4111,,,,,,,
ENDPOS4,0.625,Controller (right),173.3333,,,,,,,
ENDPOS5,0.5,Controller (right),176.1889,,,,,,,
ENDPOS3,1,Controller (right),180.0333,,,,,,,
ENDPOS2,0.625,Controller (right),184.4778,,,,,,,
ENDPOS4,0.5,Controller (right),188.4444,,,,,,,
ENDPOS4,0.75,Controller (right),193.5889,,,,,,,
ENDPOS5,1,Controller (right),196.4111,,,,,,,
ENDPOS3,0.875,Controller (right),199.9222,,,,,,,
ENDPOS3,0.5,Controller (right),202.5222,,,,,,,
ENDPOS4,0.75,Controller (right),204.8111,,,,,,,
ENDPOS3,1,Controller (right),208.3556,,,,,,,
ENDPOS4,0.625,Controller (right),212.8111,,,,,,,
ENDPOS1,0.875,Controller (right),215.1445,,,,,,,
ENDPOS1,0.75,Controller (right),218.0667,,,,,,,
ENDPOS5,0.625,Controller (right),220.4889,,,,,,,
ENDPOS5,0.5,Controller (right),224.8,,,,,,,
ENDPOS5,0.875,Controller (right),229.5556,,,,,,,
ENDPOS5,1,Controller (right),233.3667,,,,,,,
ENDPOS5,0.625,Controller (right),235.3333,,,,,,,
ENDPOS5,0.5,Controller (right),237.4889,,,,,,,
ENDPOS1,0.5,Controller (right),241.6667,,,,,,,
ENDPOS3,0.625,Controller (right),244.8222,,,,,,,
ENDPOS1,0.5,Controller (right),248.2667,,,,,,,
ENDPOS4,0.75,Controller (right),251.7889,,,,,,,
ENDPOS4,0.625,Controller (right),256.1333,,,,,,,
ENDPOS1,1,Controller (right),259.0778,,,,,,,
ENDPOS1,0.75,Controller (right),263.8445,,,,,,,
ENDPOS5,1,Controller (right),269.0111,,,,,,,
